Date,Open,High,Low,Close,Adj Close,Volume
1/1/1996,0.794921,0.796679,0.791015,0.796679,0.555412,204800
1/2/1996,0.794921,0.798828,0.793457,0.793457,0.553166,204800
1/3/1996,0.798828,0.798828,0.798828,0.798828,0.55691,102400
1/4/1996,0.791015,0.794921,0.791015,0.793554,0.553233,307200
1/5/1996,0.784179,0.784179,0.784179,0.784179,0.546697,51200
1/8/1996,0.784179,0.791015,0.785156,0.789062,0.550102,358400
1/9/1996,0.789062,0.78125,0.771484,0.780273,0.543975,870400
1/10/1996,0.780273,0.77539,0.771484,0.773437,0.539209,358400
1/11/1996,0.779296,0.791015,0.773437,0.791015,0.551463,819200
1/12/1996,0.787109,0.787109,0.78125,0.786621,0.5484,358400
1/15/1996,0.776367,0.785156,0.776367,0.777832,0.542273,307200
1/16/1996,0.777832,0.78125,0.71289,0.78125,0.544656,358400
1/17/1996,0.78125,0.783203,0.771484,0.773828,0.539481,768000
1/18/1996,0.773828,0.776367,0.769531,0.776367,0.541251,204800
1/19/1996,0.771484,0.771484,0.768066,0.768554,0.535804,512000
1/22/1996,0.771484,0.776367,0.771484,0.776367,0.541251,204800
1/23/1996,0.767578,0.78125,0.767578,0.773925,0.539549,665600
1/24/1996,0.773925,0.770507,0.752929,0.770507,0.537166,409600
1/25/1996,0.770996,0.770996,0.767578,0.767578,0.535124,102400
1/26/1996,0.767578,0.767578,0.767578,0.767578,0.535124,0
1/29/1996,0.765625,0.765625,0.763183,0.763183,0.53206,102400
1/30/1996,0.763183,0.77539,0.771484,0.77246,0.538528,1433600
1/31/1996,0.77246,0.78125,0.767578,0.78125,0.544656,460800
2/1/1996,0.78125,0.810546,0.78125,0.810546,0.565079,819200
2/2/1996,0.810546,0.839843,0.810546,0.839746,0.585437,2355200
2/5/1996,0.839746,0.841796,0.82041,0.839843,0.585504,819200
2/6/1996,0.839843,0.883789,0.839843,0.859375,0.599121,1382400
2/7/1996,0.859375,0.84375,0.833984,0.836523,0.58319,972800
2/8/1996,0.849609,0.888671,0.849609,0.888671,0.619545,768000
2/9/1996,0.888671,0.927734,0.830078,0.922558,0.64317,1382400
2/12/1996,0.922558,0.935546,0.908203,0.912109,0.635885,819200
2/13/1996,0.9375,0.957031,0.9375,0.957031,0.667203,2048000
2/14/1996,0.957031,1.000976,0.951171,0.993164,0.692393,972800
2/15/1996,0.993164,1.005859,0.957031,1.002539,0.698929,2201600
2/16/1996,1.002539,1.015625,0.965332,1.005371,0.700903,2764800
2/19/1996,1.005371,0.986328,0.982421,0.98457,0.686402,1024000
2/20/1996,0.98457,0.981445,0.96875,0.968945,0.675509,614400
2/21/1996,0.968945,0.968945,0.968945,0.968945,0.675509,0
2/22/1996,0.968945,0.972656,0.96123,0.961425,0.670266,307200
2/23/1996,0.961425,0.970703,0.960937,0.970703,0.676735,153600
2/26/1996,0.970703,0.976562,0.966308,0.976562,0.680819,204800
2/27/1996,0.976562,0.952148,0.927734,0.927734,0.646778,153600
2/28/1996,0.927734,0.929687,0.929687,0.929687,0.64814,51200
2/29/1996,0.929687,0.917968,0.914062,0.916015,0.638608,460800
3/1/1996,0.916015,0.927734,0.898437,0.922851,0.643374,512000
3/4/1996,0.927734,0.9375,0.927734,0.9375,0.653587,153600
3/5/1996,0.9375,0.9375,0.9375,0.9375,0.653587,0
3/6/1996,0.952929,0.952929,0.911132,0.911132,0.635204,204800
3/7/1996,0.911132,0.9375,0.917871,0.9375,0.653587,307200
3/8/1996,0.9375,0.945214,0.929687,0.945214,0.658964,256000
3/11/1996,0.945214,0.9375,0.931738,0.935546,0.652224,153600
3/12/1996,0.935546,0.9375,0.917968,0.9375,0.653587,409600
3/13/1996,0.9375,0.928125,0.915039,0.915039,0.637928,870400
3/14/1996,0.915039,0.9375,0.937011,0.9375,0.653587,307200
3/15/1996,0.9375,0.933691,0.933593,0.933593,0.650863,153600
3/18/1996,0.933593,0.9375,0.933593,0.93496,0.651816,1228800
3/19/1996,0.93496,0.9375,0.927734,0.9375,0.653587,256000
3/20/1996,0.9375,0.9375,0.9375,0.9375,0.653587,0
3/21/1996,0.9375,0.944726,0.93457,0.93457,0.651544,256000
3/22/1996,0.93457,0.951171,0.941503,0.946679,0.659986,768000
3/25/1996,0.946679,0.937304,0.920898,0.935546,0.652224,409600
3/26/1996,0.935546,0.933593,0.923046,0.923046,0.64351,204800
3/27/1996,0.923046,0.9375,0.929687,0.929687,0.64814,716800
3/28/1996,0.929687,0.949316,0.947265,0.949316,0.661824,307200
3/29/1996,0.949316,0.984277,0.957031,0.982324,0.684836,716800
4/1/1996,0.982324,0.982324,0.982324,0.982324,0.684836,0
4/2/1996,0.982324,0.986328,0.974609,0.986328,0.687628,614400
4/3/1996,0.986328,0.990234,0.978515,0.978515,0.682181,512000
4/4/1996,0.978515,0.976562,0.976562,0.976562,0.680819,51200
4/5/1996,0.976562,0.976562,0.976562,0.976562,0.680819,0
4/8/1996,0.976562,0.982226,0.976562,0.982226,0.684768,256000
4/9/1996,0.982226,1.035156,0.988281,1.032226,0.719626,2099200
4/10/1996,1.032226,1.136718,1.084082,1.088867,0.759114,4505600
4/11/1996,1.088867,1.085937,1.064453,1.076171,0.750262,1536000
4/12/1996,1.076171,1.09375,1.07041,1.092578,0.761701,1587200
4/15/1996,1.092578,1.171875,1.09375,1.160156,0.808813,3174400
4/16/1996,1.160156,1.220703,1.152343,1.20664,0.84122,2918400
4/17/1996,1.20664,1.279296,1.210937,1.26582,0.882478,4249600
4/18/1996,1.26582,1.318164,1.231445,1.251757,0.872674,3532800
4/19/1996,1.251757,1.271484,1.235351,1.242187,0.866002,1587200
4/22/1996,1.242187,1.240234,1.210937,1.21289,0.845577,1689600
4/23/1996,1.21289,1.220703,1.201171,1.217968,0.849118,3276800
4/24/1996,1.217968,1.269531,1.232421,1.242285,0.86607,1280000
4/25/1996,1.242285,1.256835,1.240332,1.240429,0.864776,1484800
4/26/1996,1.240429,1.257812,1.223242,1.237402,0.862666,1382400
4/29/1996,1.237402,1.234375,1.224414,1.228515,0.85647,460800
4/30/1996,1.228515,1.239746,1.223632,1.231445,0.863317,1075200
