Date,Open,High,Low,Close,Adj Close,Volume
2/1/2017,460.549988,461.600006,452.575012,458.375,408.792114,11531782
2/2/2017,458.5,472.5,455.049988,467.950012,417.331329,11828268
2/3/2017,466.899994,470.450012,460.524994,468.049988,417.420532,8423958
2/6/2017,468.625,471.875,465.274994,467.625,417.041565,6727934
2/7/2017,466.5,474.899994,464.274994,471.125,420.162933,9268002
2/8/2017,468,472.049988,466.225006,468.25,417.598907,6319962
2/9/2017,468.5,475,468.274994,473,421.835144,11907266
2/10/2017,473.125,486,471.649994,484.149994,431.779022,12252452
2/13/2017,486.424988,493.049988,481.424988,492.174988,438.935944,13724268
2/14/2017,490,494.5,486.174988,493.850006,440.429779,9338818
2/15/2017,494.600006,499.399994,484.399994,490.899994,437.798889,7259486
2/16/2017,495.5,506.950012,495.024994,506.049988,451.310028,12815858
2/17/2017,506.875,506.875,496.350006,500.049988,445.959076,4851208
2/20/2017,498.25,515.5,496.75,505.125,450.485138,4650662
2/21/2017,511.049988,512.25,500.024994,506.799988,451.979004,7613996
2/22/2017,507.5,507.5,493.200012,495.075012,441.522247,6607838
2/23/2017,499.450012,510,496.674988,504.424988,449.860809,9542656
2/27/2017,503.649994,511.5,503.475006,506.200012,451.443817,5328696
2/28/2017,505.924988,511.350006,504.625,506.200012,451.443817,5940132
3/1/2017,506,513.5,505.049988,512.575012,457.129303,4282448
3/2/2017,512.200012,514,508.25,511.649994,456.304291,2948498
3/3/2017,505.125,517.150024,500.200012,515.599976,459.827026,5401612
3/6/2017,510.024994,517.974976,509.850006,516.950012,461.031036,5286386
3/7/2017,511,512.900024,507.350006,509.899994,454.743622,4644496
3/8/2017,508.450012,508.450012,502.225006,503.899994,449.392639,6179176
3/9/2017,503.899994,506.5,499.5,505.774994,451.064789,3480630
3/10/2017,507.5,513.825012,506.700012,510.924988,455.657745,4550324
3/14/2017,511.399994,520.950012,511.399994,517.400024,461.432404,7878396
3/15/2017,517.450012,517.450012,503.75,505.975006,451.243195,6373978
3/16/2017,506.649994,515.849976,506.649994,514.424988,458.779175,6702956
3/17/2017,517.700012,521.450012,509.625,520.150024,463.884857,9507846
3/20/2017,513.275024,513.275024,507.549988,510.75,455.501678,4427388
3/21/2017,510.450012,517.474976,509.399994,516.424988,460.562836,4869584
3/22/2017,511.225006,519.974976,510.200012,513.849976,458.266327,3990852
3/23/2017,514.125,521.5,513.299988,520.224976,463.951782,4501662
3/24/2017,519,522,513.849976,515.700012,459.916229,4883896
3/27/2017,513.599976,520.924988,512.25,514.424988,458.779175,7684824
3/28/2017,515.75,519.5,515.025024,517.575012,461.58844,4796796
3/29/2017,517.150024,520.75,512.924988,515.924988,460.116882,6981186
3/30/2017,517,517.950012,510.125,512.75,457.285309,12157180
3/31/2017,511.625,514.650024,504,511.125,455.836121,14153854
4/3/2017,516.075012,516.224976,503.049988,504.399994,449.838531,4315600
4/5/2017,502.5,502.700012,495.5,497.975006,444.108551,7398338
4/6/2017,499.075012,502.899994,496,499.799988,445.736145,5379008
4/7/2017,500.450012,500.450012,489.5,490.774994,437.687317,6404508
4/10/2017,492.450012,494.75,475.049988,476.700012,425.134949,9528472
4/11/2017,478.024994,485.850006,478.024994,483.575012,431.266235,8655466
4/12/2017,485,488.450012,480.174988,484.424988,432.024292,6696752
4/13/2017,485,495,463.325012,465.700012,415.324768,30973188
4/17/2017,465,466.049988,461.75,462.450012,412.426392,7213434
4/18/2017,462.375,467,459.549988,461.325012,411.423096,4647518
4/19/2017,461.5,465,456.325012,459.600006,409.884613,10071702
4/20/2017,460.75,464.850006,459.274994,463.649994,413.496552,4549000
4/21/2017,467.399994,467.399994,460.549988,461.850006,411.891235,3577466
4/24/2017,458.75,464.25,456.5,463.274994,413.16214,5556666
4/25/2017,462.950012,466.5,460.274994,464.674988,414.410645,4737060
4/26/2017,464.975006,467.774994,455.100006,457.125,407.677307,9084496
4/27/2017,458,464.5,458,462.625,412.582458,7797208
4/28/2017,463.424988,463.700012,457.799988,459.475006,409.773224,5029702
5/2/2017,462,463.200012,457.549988,461.299988,411.400757,3231126
5/3/2017,463.25,469.549988,458.825012,467.149994,416.618011,4659448
5/4/2017,468.5,469.825012,464.450012,468.825012,418.111725,5279806
5/5/2017,468,468.674988,460,465.75,415.369354,4432788
5/8/2017,469,474.274994,466,472.75,421.612152,4707098
5/9/2017,475.299988,475.975006,471.049988,473.325012,422.125031,5649372
